a_year,a_ref,a_District,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
2017,26,LISC,3,3,1,TUE,3,1,15,15,335932,367776,13,50, , , , , , , , , , 
2017,27,MIDU,3,1,1,TUE,3,1,15,32,297076,391502,1,70, , , , , , , , , , 
2017,28,DCST,3,1,1,TUE,3,1,15,30,241946,416038,13,30, , , , , , , , , , 
2017,29,CCGL,3,1,1,TUE,3,1,17,10,273057,407196,13,60, , , , , , , , , , 
2017,30,MIDU,3,2,1,TUE,3,1,17,45,285343,359272,13,60, , , , , , , , , , 
2017,31,BELC,3,2,1,TUE,3,1,20,0,333628,373596,13,30, , , , , , , , , , 
2017,32,FERO,3,2,1,TUE,3,1,20,33,241203,368597,13,60, , , , , , , , , , 
2017,33,BELC,3,2,1,TUE,3,1,23,45,329458,371306,13,30, , , , , , , , , , 
2017,34,MIDU,3,3,1,WED,4,1,7,56,278340,359196,13,60, , , , , , , , , , 
2017,35,ARBC,3,2,1,WED,4,1,7,55,306115,349304,13,60, , , , , , , , , , 
2017,36,NEMD,3,2,1,TUE,3,1,18,15,340959,359837,13,40, , , , , , , , , , 
2017,37,BELC,2,2,1,WED,4,1,8,45,333200,377018,13,30,6,7,1,1,2,1,2,1,1,1
2017,38,NEMD,3,3,1,WED,4,1,12,15,303737,317787,13,40, , , , , , , , , , 
2017,39,ARBC,3,2,2,WED,4,1,13,24,307672,357427,13,30, , , , , , , , , , 
2017,40,ARND,3,2,1,WED,4,1,14,0,353763,370537,13,60, , , , , , , , , , 
2017,41,ANTN,3,2,1,WED,4,1,14,35,317215,391481,13,60, , , , , , , , , , 
2017,42,DCST,2,3,5,WED,4,1,14,53,241740,417312,13,60,1,1,1,1,2,2,2,1,1,1
2017,43,MIDU,3,2,5,WED,4,1,9,45,291721,392504,13,60, , , , , , , , , , 
2017,44,ARBC,3,3,2,SUN,1,1,13,30,292058,348058,13,60, , , , , , , , , , 
2017,45,MEAN,3,2,1,WED,4,1,17,17,307269,402895,13,40, , , , , , , , , , 
2017,46,ARBC,3,2,1,WED,4,1,17,31,298601,355270,13,60, , , , , , , , , , 
2017,47,ARBC,3,1,1,WED,4,1,7,55,301149,353873,2,30, , , , , , , , , , 
2017,48,ARND,3,2,2,WED,4,1,14,0,345890,369259,13,30, , , , , , , , , , 
2017,49,NEMD,3,2,1,WED,4,1,18,45,348917,343919,13,30, , , , , , , , , , 
2017,50,BELC,3,2,1,WED,4,1,17,50,335563,373519,13,30, , , , , , , , , , 
2017,51,ARBC,2,2,1,THU,5,1,5,40,302595,348437,13,60,1,1,1,1,6,9,4,1,1,1
2017,52,BELC,3,2,1,THU,5,1,7,55,331186,371753,12,70, , , , , , , , , , 
2017,53,BELC,3,2,1,THU,5,1,8,16,335331,373909,13,30, , , , , , , , , , 
2017,54,ARBC,3,2,1,THU,5,1,9,4,301997,354040,13,30, , , , , , , , , , 
2017,55,BELC,3,2,1,THU,5,1,10,16,331959,374149,13,30, , , , , , , , , , 
2017,56,BELC,3,2,2,THU,5,1,10,55,330829,371271,14,60, , , , , , , , , , 
2017,57,CCGL,3,2,2,THU,5,1,11,19,298828,421991,13,60, , , , , , , , , , 
2017,58,CCGL,3,1,1,THU,5,1,12,30,302214,440298,13,60, , , , , , , , , , 
2017,59,BELC,3,2,1,THU,5,1,14,58,332135,373914,13,30, , , , , , , , , , 
2017,60,ARND,3,2,1,THU,5,1,16,48,350823,381705,13,30, , , , , , , , , , 
2017,61,MEAN,3,2,3,THU,5,1,17,0,314540,403145,13,60, , , , , , , , , , 
2017,62,MEAN,3,2,2,THU,5,1,17,10,309370,400106,13,60, , , , , , , , , , 
2017,63,BELC,3,3,2,THU,5,1,17,44,338616,373235,13,30, , , , , , , , , , 
2017,64,CCGL,3,2,1,THU,5,1,19,20,298829,421992,13,60, , , , , , , , , , 
2017,65,MEAN,3,2,2,THU,5,1,20,37,307752,397845,13,60, , , , , , , , , , 
2017,66,ARND,2,1,2,FRI,6,1,8,5,349550,381077,13,30,1,1,1,1,4,2,2,1,1,1
2017,67,ARBC,3,2,1,FRI,6,1,9,0,294834,352695,13,60, , , , , , , , , , 
2017,68,LISC,3,2,1,FRI,6,1,9,57,341296,374060,13,30, , , , , , , , , , 
2017,69,NEMD,2,2,1,THU,5,1,13,0,328910,312307,13,30,10,7,1,1,3,1,1,1,1,2
2017,70,ARND,2,2,3,FRI,6,1,14,10,357522,368214,13,30,1,1,1,1,1,1,2,1,1,1
2017,71,ARBC,3,2,2,FRI,6,1,19,12,287604,345514,13,30, , , , , , , , , , 
2017,72,MIDU,3,1,1,FRI,6,1,15,10,279964,383271,13,40, , , , , , , , , , 
2017,73,BELC,3,3,6,FRI,6,1,22,21,327805,369448,13,30, , , , , , , , , , 
2017,74,ANTN,3,1,1,SAT,7,1,8,46,317481,394313,13,60, , , , , , , , , , 
2017,75,LISC,3,1,1,SAT,7,1,11,40,338942,371069,13,60, , , , , , , , , , 
2017,76,ARND,3,2,3,SAT,7,1,10,20,341718,379663,13,30, , , , , , , , , , 
2017,77,NEMD,2,3,1,SAT,7,1,15,15,339828,339642,13,60,12,4,1,1,2,1,1,1,1,1
2017,78,ARND,2,1,1,SAT,7,1,17,54,350058,374309,13,30,10,7,1,1,4,1,2,1,1,1
2017,79,ARND,3,3,3,SAT,7,1,19,35,360559,368184,13,60, , , , , , , , , , 
2017,80,MIDU,2,2,1,SAT,7,1,19,49,280302,383027,13,60,10,7,1,1,6,2,2,1,1,1
2017,81,BELC,3,2,1,SAT,7,1,21,55,334733,371710,13,30, , , , , , , , , , 
2017,82,BELC,3,1,1,SAT,7,1,23,53,333638,373980,13,20, , , , , , , , , , 
2017,83,ARND,3,2,1,SUN,8,1,10,25,350735,381510,13,30, , , , , , , , , , 
2017,84,DCST,3,2,1,SUN,8,1,15,25,244083,416330,13,30, , , , , , , , , , 
2017,85,ARND,3,2,1,SUN,8,1,15,49,339446,379151,13,40, , , , , , , , , , 
2017,86,ANTN,3,2,4,SUN,8,1,16,11,319621,377960,13,60, , , , , , , , , , 
2017,87,MIDU,3,2,2,SUN,8,1,18,30,282046,366882,13,60, , , , , , , , , , 
2017,88,NEMD,3,1,1,SUN,8,1,23,25,311874,331165,13,60, , , , , , , , , , 
2017,89,CCGL,2,3,4,MON,9,1,7,46,296243,426264,13,60,1,1,1,1,2,1,2,1,1,1
2017,90,BELC,3,1,1,MON,9,1,8,7,335695,373244,13,30, , , , , , , , , , 
2017,91,BELC,3,2,1,MON,9,1,8,36,337617,375196,13,30, , , , , , , , , , 
2017,92,FERO,3,2,2,MON,9,1,10,35,243352,374470,13,30, , , , , , , , , , 
2017,93,CCGL,3,2,1,MON,9,1,11,16,285181,435090,13,60, , , , , , , , , , 
2017,94,ANTN,2,2,2,MON,9,1,11,37,332852,384859,13,30,12,7,1,1,3,1,2,1,1,1
2017,95,ARBC,3,2,1,MON,9,1,12,21,284644,334448,13,30, , , , , , , , , , 
2017,96,NEMD,3,2,1,FRI,6,1,17,30,321117,328913,13,30, , , , , , , , , , 
2017,97,DCST,3,2,1,MON,9,1,13,38,246970,414574,13,30, , , , , , , , , , 
2017,98,ARBC,3,2,1,MON,9,1,13,47,309111,361839,13,60, , , , , , , , , , 
2017,99,ARND,2,3,5,MON,9,1,15,0,361421,370061,13,60,1,1,1,1,2,1,1,1,1,1
2017,100,CCGL,2,2,1,MON,9,1,16,8,299180,426222,13,60,1,1,1,1,6,9,2,1,3,1
2017,101,MEAN,3,1,1,MON,9,1,17,23,315694,398577,13,60, , , , , , , , , , 
2017,102,NEMD,3,1,1,MON,9,1,18,30,308580,326793,13,30, , , , , , , , , , 
2017,103,BELC,3,2,1,TUE,10,1,7,51,331844,372812,12,70, , , , , , , , , , 
2017,104,BELC,3,2,1,TUE,10,1,7,50,336538,374195,13,30, , , , , , , , , , 
2017,105,ARND,3,2,1,TUE,10,1,8,0,348835,374103,13,30, , , , , , , , , , 
2017,106,ANTN,3,2,1,TUE,10,1,9,50,313634,390114,1,30, , , , , , , , , , 
2017,107,LISC,3,2,1,TUE,10,1,10,35,340238,371602,13,60, , , , , , , , , , 
2017,108,CCGL,3,2,1,TUE,10,1,11,6,284518,434006,13,40, , , , , , , , , , 
2017,109,FERO,3,2,4,TUE,10,1,15,59,223019,344248,13,30, , , , , , , , , , 
2017,110,BELC,3,2,1,TUE,10,1,14,0,331099,377834,13,30, , , , , , , , , , 
2017,111,CCGL,2,1,1,TUE,10,1,16,23,298466,436856,13,30,12,7,1,1,1,1,2,1,1,1
2017,112,ARND,3,2,1,TUE,10,1,16,40,348955,374071,13,30, , , , , , , , , , 
2017,113,ANTN,2,1,1,TUE,10,1,17,32,330987,385950,1,60,2,7,1,1,4,1,2,1,1,1
2017,114,ANTN,3,2,4,TUE,10,1,17,30,327799,389637,13,60, , , , , , , , , , 
2017,115,ANTN,3,3,2,TUE,10,1,17,54,313132,391853,11,60, , , , , , , , , , 
2017,116,ARND,3,2,1,TUE,10,1,18,0,347979,373907,13,30, , , , , , , , , , 
2017,117,CCGL,3,2,1,TUE,10,1,18,30,299747,419262,13,60, , , , , , , , , , 
2017,118,ARBC,2,1,1,TUE,10,1,23,50,310216,361794,12,70,1,1,1,1,7,10,1,1,1,1
2017,119,BELC,3,3,1,WED,11,1,7,36,334424,377100,13,70, , , , , , , , , , 
2017,120,ARBC,3,2,1,WED,11,1,8,10,302125,356126,13,30, , , , , , , , , , 
2017,121,DCST,2,2,2,WED,11,1,8,35,231460,387124,13,60,12,7,1,1,2,1,1,1,1,1
2017,122,ARBC,2,1,1,WED,11,1,10,30,308827,357923,13,30,12,3,3,11,1,1,1,1,1,2
2017,123,CCGL,3,2,1,WED,11,1,10,36,285631,440941,2,30, , , , , , , , , , 
2017,124,CCGL,3,2,1,WED,11,1,12,15,281725,437982,1,30, , , , , , , , , , 
2017,125,BELC,2,2,1,WED,11,1,13,5,338652,373472,13,30,1,1,1,12,1,1,1,1,1,1
2017,126,MIDU,3,2,3,WED,11,1,14,46,293359,392299,13,60, , , , , , , , , , 
2017,127,DCST,3,2,3,WED,11,1,15,6,251613,391530,13,30, , , , , , , , , , 
2017,128,ARBC,3,2,1,WED,11,1,15,20,289724,343422,13,60, , , , , , , , , , 
2017,129,MEAN,3,2,1,WED,11,1,7,45,337912,407943,13,60, , , , , , , , , , 
2017,130,MEAN,3,2,1,WED,11,1,16,55,345677,394519,13,60, , , , , , , , , , 
2017,131,BELC,3,2,1,WED,11,1,17,0,327894,370894,13,30, , , , , , , , , , 
2017,132,ARND,3,2,1,WED,11,1,14,30,348815,380044,13,30, , , , , , , , , , 
2017,133,LISC,1,2,2,WED,11,1,17,43,337299,360033,13,60,1,1,1,1,6,1,2,1,1,1
2017,134,ANTN,3,1,1,WED,11,1,18,30,331136,382709,13,30, , , , , , , , , , 
2017,135,CCGL,3,2,1,WED,11,1,19,15,266900,431550,13,60, , , , , , , , , , 
2017,136,CCGL,3,2,3,WED,11,1,20,22,294330,427001,13,60, , , , , , , , , , 
2017,137,BELC,3,2,4,WED,11,1,17,15,330674,371985,13,30, , , , , , , , , , 
2017,138,FERO,3,1,1,THU,12,1,0,32,242557,370432,13,60, , , , , , , , , , 
2017,139,ARND,2,1,3,THU,12,1,2,32,351516,376812,13,60,1,1,1,1,6,4,2,1,1,1
2017,140,BELC,2,2,1,THU,12,1,8,15,334324,372785,13,30,12,7,1,1,3,10,1,1,1,1
2017,141,ARBC,3,4,1,THU,12,1,8,58,298722,356120,13,60, , , , , , , , , , 
2017,142,BELC,3,2,1,THU,12,1,8,30,334002,375218,11,50, , , , , , , , , , 
2017,143,CCGL,3,2,2,THU,12,1,11,9,270155,417800,13,60, , , , , , , , , , 
2017,144,ARND,3,2,2,THU,12,1,12,30,347203,366583,13,60, , , , , , , , , , 
2017,145,BELC,3,1,1,THU,12,1,13,10,331584,373624,13,30, , , , , , , , , , 
2017,146,BELC,3,2,1,THU,12,1,13,33,332450,371874,13,30, , , , , , , , , , 
2017,147,BELC,3,2,1,THU,12,1,14,9,334444,375477,2,30, , , , , , , , , , 
2017,148,ARBC,3,2,1,THU,12,1,14,45,297675,346443,13,60, , , , , , , , , , 
2017,149,FERO,3,2,1,THU,12,1,14,50,222818,343097,13,30, , , , , , , , , , 
2017,150,ARBC,2,1,1,THU,12,1,16,45,312963,358592,13,30,1,1,1,1,1,4,2,1,1,1
2017,151,ANTN,3,2,1,THU,12,1,16,56,330452,382874,14,70, , , , , , , , , , 
2017,152,BELC,3,2,1,THU,12,1,17,40,330866,371353,12,70, , , , , , , , , , 
2017,153,BELC,3,2,1,THU,12,1,17,10,334383,378341,12,70, , , , , , , , , , 
2017,154,ARBC,3,4,2,THU,12,1,19,0,285881,339409,13,60, , , , , , , , , , 
2017,155,DCST,3,2,1,THU,12,1,19,6,243737,419643,13,30, , , , , , , , , , 
2017,156,CCGL,3,2,2,THU,12,1,19,40,285292,432710,13,30, , , , , , , , , , 
2017,157,NEMD,3,2,1,THU,12,1,21,39,305394,320461,13,30, , , , , , , , , , 
2017,158,ARBC,3,1,1,FRI,13,1,7,15,293696,352241,13,60, , , , , , , , , , 
2017,159,LISC,3,2,2,FRI,13,1,8,20,315623,372522,13,60, , , , , , , , , , 
2017,160,CCGL,3,1,1,FRI,13,1,8,26,293673,426654,13,60, , , , , , , , , , 
2017,161,ANTN,3,1,1,FRI,13,1,8,39,305395,393827,13,30, , , , , , , , , , 
2017,162,ARBC,2,1,2,FRI,13,1,8,40,281958,347452,13,60,1,1,1,1,7,1,4,1,1,1
2017,163,DCST,3,2,1,FRI,13,1,8,42,246304,418115,11,30, , , , , , , , , , 
2017,164,FERO,3,2,2,FRI,13,1,10,15,224281,343763,13,30, , , , , , , , , , 
2017,165,DCST,2,1,1,FRI,13,1,10,26,240446,386284,13,60,1,1,1,1,2,1,4,1,1,1
2017,166,ARND,3,2,1,FRI,13,1,10,25,350058,379948,11,30, , , , , , , , , , 
2017,167,ANTN,3,3,6,FRI,13,1,11,51,322835,385592,13,30, , , , , , , , , , 
2017,168,BELC,3,2,1,FRI,13,1,13,4,330861,376555,13,30, , , , , , , , , , 
2017,169,NEMD,3,2,1,FRI,13,1,13,14,349380,343330,13,40, , , , , , , , , , 
2017,170,FERO,3,2,1,THU,12,1,8,40,224143,343912,13,30, , , , , , , , , , 
2017,171,BELC,3,2,1,FRI,13,1,14,14,333156,374195,11,50, , , , , , , , , , 
2017,172,ARND,3,2,1,FRI,13,1,14,50,351340,379457,13,30, , , , , , , , , , 
2017,173,ARBC,3,2,4,FRI,13,1,14,59,307028,351659,13,60, , , , , , , , , , 
2017,174,ARND,3,2,4,FRI,13,1,15,40,354327,380432,13,30, , , , , , , , , , 
2017,175,MIDU,3,2,2,FRI,13,1,17,7,287251,361667,14,70, , , , , , , , , , 
2017,176,MIDU,3,4,2,FRI,13,1,17,30,285819,383378,13,30, , , , , , , , , , 
2017,177,MEAN,3,2,1,THU,12,1,17,0,300414,403621,13,60, , , , , , , , , , 
2017,178,MIDU,3,1,1,FRI,13,1,17,0,290922,388472,13,60, , , , , , , , , , 
2017,179,DCST,3,2,1,FRI,13,1,19,15,243921,420678,13,30, , , , , , , , , , 
2017,180,BELC,3,2,1,FRI,13,1,20,2,336111,373527,13,30, , , , , , , , , , 
2017,181,ANTN,3,1,1,FRI,13,1,22,30,321831,387294,12,70, , , , , , , , , , 
2017,182,NEMD,3,2,1,SAT,14,1,7,13,350509,358302,13,60, , , , , , , , , , 
2017,183,ARND,3,1,1,SAT,14,1,7,24,349781,360860,13,60, , , , , , , , , , 
2017,184,ARND,2,1,1,SAT,14,1,8,54,350539,363386,13,60,1,1,1,1,2,1,4,1,1,1
2017,185,MEAN,3,2,1,SAT,14,1,10,58,303915,405792,13,60, , , , , , , , , , 
2017,186,LISC,3,2,1,SAT,14,1,11,5,328732,367606,13,30, , , , , , , , , , 
2017,187,ARBC,3,2,2,SAT,14,1,13,55,309105,352334,13,60, , , , , , , , , , 
2017,188,DCST,3,1,1,SAT,14,1,13,55,243005,417887,13,30, , , , , , , , , , 
2017,189,ARND,3,2,1,SAT,14,1,16,20,350147,373046,13,60, , , , , , , , , , 
2017,190,ARND,3,2,2,SAT,14,1,16,41,351080,381938,1,30, , , , , , , , , , 
2017,191,DCST,3,2,1,SAT,14,1,17,19,242245,419221,13,30, , , , , , , , , , 
2017,192,DCST,3,2,1,SAT,14,1,17,49,244071,416768,13,30, , , , , , , , , , 
2017,193,CCGL,3,1,1,SAT,14,1,17,20,278879,418849,13,60, , , , , , , , , , 
2017,194,BELC,3,2,1,SAT,14,1,16,10,329726,371256,13,30, , , , , , , , , , 
2017,195,MIDU,3,2,2,SAT,14,1,12,30,282496,352386,13,60, , , , , , , , , , 
2017,196,ANTN,3,1,1,SAT,14,1,20,42,329642,384440,13,60, , , , , , , , , , 
2017,197,ARBC,3,1,1,SAT,14,1,22,0,311577,346076,13,30, , , , , , , , , , 
2017,198,ARBC,2,1,2,SUN,15,1,3,38,303374,359859,13,60,1,1,1,1,7,1,2,1,1,1
2017,199,LISC,3,5,1,SUN,15,1,11,10,327174,364028,13,30, , , , , , , , , , 
2017,200,NEMD,3,2,1,SUN,15,1,12,35,340817,340336,13,30, , , , , , , , , , 
2017,201,ANTN,3,1,1,SUN,15,1,13,38,316780,395022,13,60, , , , , , , , , , 
2017,202,MIDU,3,2,4,SUN,15,1,15,32,276897,359624,13,30, , , , , , , , , , 
2017,203,NEMD,2,1,1,SUN,15,1,18,6,303005,326356,13,60,12,7,1,1,6,1,1,1,1,1
2017,204,LISC,3,1,1,SUN,15,1,20,0,324200,362514,13,60, , , , , , , , , , 
2017,205,MIDU,3,2,3,SUN,15,1,20,17,282216,400688,13,60, , , , , , , , , , 
2017,206,MIDU,3,1,1,SUN,15,1,20,10,244514,347725,13,30, , , , , , , , , , 
2017,207,BELC,3,2,1,SUN,15,1,21,30,333337,375226,13,30, , , , , , , , , , 
2017,208,MIDU,3,2,2,MON,16,1,7,27,277910,365489,13,60, , , , , , , , , , 
2017,209,NEMD,3,2,1,MON,16,1,8,59,347336,342882,13,60, , , , , , , , , , 
2017,210,ARBC,2,2,1,MON,16,1,9,10,289336,336279,13,60,1,1,1,1,2,1,1,1,1,1
2017,211,ARND,3,2,1,SUN,15,1,18,55,350080,380113,13,30, , , , , , , , , , 
2017,212,ANTN,3,2,1,MON,16,1,14,20,328968,390878,13,30, , , , , , , , , , 
2017,213,ARBC,3,2,1,MON,16,1,14,10,301807,354248,13,30, , , , , , , , , , 
2017,214,NEMD,3,1,1,MON,16,1,16,15,296247,318445,13,60, , , , , , , , , , 
2017,215,NEMD,3,4,4,MON,16,1,16,55,339552,361687,13,60, , , , , , , , , , 
2017,216,ANTN,2,2,1,MON,16,1,17,5,330876,384591,1,60,2,7,1,1,4,2,2,1,1,1
2017,217,MIDU,2,2,3,MON,16,1,17,23,278518,402334,13,60,12,7,1,1,6,2,2,1,1,1
2017,218,DCST,3,2,3,MON,16,1,17,26,236852,401662,13,60, , , , , , , , , , 
2017,219,NEMD,3,2,1,MON,16,1,17,48,306964,323593,13,60, , , , , , , , , , 
2017,220,LISC,3,2,2,MON,16,1,18,0,315722,371508,13,60, , , , , , , , , , 
2017,221,ARBC,3,2,1,MON,16,1,17,30,301032,354073,13,40, , , , , , , , , , 
2017,222,ARND,3,2,1,MON,16,1,18,34,358661,370446,13,60, , , , , , , , , , 
2017,223,BELC,2,1,2,MON,16,1,18,37,332599,375458,13,30,12,7,1,2,4,1,1,1,1,1
2017,224,MEAN,3,1,1,MON,16,1,19,50,306066,409168,13,60, , , , , , , , , , 
2017,225,LISC,3,2,1,MON,16,1,20,1,326155,364112,1,30, , , , , , , , , , 
2017,226,FERO,2,1,3,MON,16,1,20,57,211704,343720,13,60,1,1,1,1,6,1,2,1,1,1
2017,227,BELC,2,1,1,SUN,15,1,13,45,327305,372454,13,30,12,7,1,1,3,10,10,1,1,2
2017,228,LISC,3,2,2,TUE,17,1,11,11,316007,362876,13,60, , , , , , , , , , 
2017,229,MEAN,3,1,1,THU,12,1,11,0,339371,397064,13,60, , , , , , , , , , 
2017,230,ANTN,2,1,2,TUE,17,1,16,49,304394,386867,13,60,6,4,1,1,2,1,2,1,1,1
2017,231,DCST,3,3,2,TUE,17,1,17,17,246173,418085,13,40, , , , , , , , , , 
2017,232,LISC,3,3,3,TUE,17,1,17,43,315657,372876,13,60, , , , , , , , , , 
2017,233,MEAN,2,1,1,TUE,17,1,17,47,334745,399946,13,60,1,1,1,1,6,1,2,1,1,1
2017,234,NEMD,3,2,2,TUE,17,1,19,40,307627,328236,13,40, , , , , , , , , , 
2017,235,LISC,3,1,1,TUE,17,1,20,56,312561,366153,13,30, , , , , , , , , , 
2017,236,NEMD,3,2,2,TUE,17,1,21,10,308632,320467,13,60, , , , , , , , , , 
2017,237,NEMD,3,2,1,WED,18,1,0,14,346229,351017,13,60, , , , , , , , , , 
2017,238,ANTN,3,2,1,WED,18,1,7,17,319638,377976,13,60, , , , , , , , , , 
2017,239,ANTN,3,2,1,WED,18,1,9,40,335040,381204,13,30, , , , , , , , , , 
2017,240,DCST,3,2,2,WED,18,1,11,50,247394,414392,13,40, , , , , , , , , , 
2017,241,ANTN,3,2,1,WED,18,1,13,15,333134,384346,13,30, , , , , , , , , , 
2017,242,ANTN,3,2,1,WED,18,1,14,56,330992,385949,1,60, , , , , , , , , , 
2017,243,BELC,3,2,1,WED,18,1,14,45,336418,374218,13,30, , , , , , , , , , 
2017,244,BELC,3,2,2,WED,18,1,16,1,331645,375269,13,30, , , , , , , , , , 
2017,245,ANTN,3,2,1,WED,18,1,17,7,331979,382026,13,30, , , , , , , , , , 
2017,246,CCGL,2,2,1,WED,18,1,17,30,295775,436489,13,60,1,1,1,1,6,1,1,1,1,1
2017,247,BELC,3,1,1,WED,18,1,18,40,339935,373990,13,30, , , , , , , , , , 
2017,248,BELC,3,2,1,WED,18,1,18,50,334145,377453,13,30, , , , , , , , , , 
2017,249,BELC,3,3,2,WED,18,1,19,25,333186,375276,13,30, , , , , , , , , , 
2017,250,MEAN,2,2,4,WED,18,1,20,28,346758,392313,13,40,12,7,1,1,7,1,1,1,1,1
2017,251,BELC,3,2,3,WED,18,1,20,28,328429,370872,13,30, , , , , , , , , , 
2017,252,ARBC,3,2,1,WED,18,1,20,41,296512,347244,13,60, , , , , , , , , , 
2017,253,MIDU,3,2,1,WED,18,1,15,59,291723,392502,13,60, , , , , , , , , , 
2017,254,BELC,3,2,1,WED,18,1,22,2,333883,375450,13,30, , , , , , , , , , 
2017,255,BELC,3,2,3,SUN,15,1,7,15,334420,373907,13,30, , , , , , , , , , 
2017,256,MIDU,3,2,1,THU,19,1,5,45,277443,360548,13,40, , , , , , , , , , 
2017,257,FERO,3,2,2,THU,19,1,8,32,262428,378636,13,60, , , , , , , , , , 
2017,258,MIDU,3,2,2,THU,19,1,9,25,281507,352482,13,60, , , , , , , , , , 
2017,259,FERO,2,2,1,THU,12,1,10,30,204107,349366,13,60,1,1,1,1,2,1,1,1,1,2
2017,260,NEMD,3,2,1,THU,19,1,10,19,342246,352688,13,60, , , , , , , , , , 
2017,261,MEAN,3,2,1,THU,19,1,15,15,322096,398981,13,60, , , , , , , , , , 
2017,262,MEAN,2,3,3,THU,19,1,16,14,336666,400341,11,70,2,7,1,1,1,1,1,1,1,1
2017,263,BELC,3,3,1,THU,19,1,17,20,334386,378228,12,70, , , , , , , , , , 
2017,264,BELC,3,1,1,THU,19,1,17,20,330068,371311,13,30, , , , , , , , , , 
2017,265,MIDU,3,2,1,THU,19,1,17,40,258601,359664,13,60, , , , , , , , , , 
2017,266,FERO,3,2,1,THU,5,1,17,30,234748,338866,13,60, , , , , , , , , , 
2017,267,ARBC,3,2,1,THU,19,1,17,40,304316,351459,1,60, , , , , , , , , , 
2017,268,LISC,3,1,1,THU,19,1,19,15,330660,361809,13,60, , , , , , , , , , 
2017,269,DCST,3,1,1,THU,19,1,19,43,242229,419829,13,30, , , , , , , , , , 
2017,270,ARBC,3,2,3,THU,19,1,20,30,307999,358328,13,30, , , , , , , , , , 
2017,271,BELC,3,2,1,THU,19,1,11,10,338744,373933,13,30, , , , , , , , , , 
2017,272,MEAN,3,2,1,FRI,20,1,12,40,340502,402633,13,30, , , , , , , , , , 
2017,273,DCST,3,2,1,FRI,20,1,8,45,243590,416451,13,30, , , , , , , , , , 
2017,274,BELC,3,2,1,FRI,20,1,15,47,333895,375178,11,50, , , , , , , , , , 
2017,275,ARND,2,1,1,FRI,20,1,17,15,351914,381653,13,30,1,1,1,1,4,1,1,1,1,1
2017,276,ARND,3,2,1,FRI,20,1,18,20,350038,379989,11,30, , , , , , , , , , 
2017,277,NEMD,2,2,1,FRI,20,1,18,59,350617,340839,13,60,12,7,1,1,6,1,1,1,1,1
